Year,State,State Code,Deaths,Population
1983,Rhode Island,44,592,839789
1983,South Carolina,45,1620,2746356
1983,South Dakota,46,478,578879
1983,Tennessee,47,2793,4002607
1983,Texas,48,7368,13187195
1983,Utah,49,626,1216623
1983,Vermont,50,416,449029
1983,Virginia,51,3139,4816464
1983,Washington,53,2784,3667602
1983,West Virginia,54,1503,1661754
1983,Wisconsin,55,2871,4032715
1983,Wyoming,56,297,414539
1984,Alabama,1,2345,3368164
1984,Arizona,4,2291,2600406
1984,Arkansas,5,1636,1975438
1984,California,6,15943,22052288
1984,Colorado,8,2123,2690240
1984,Connecticut,9,2007,2792648
1984,Delaware,10,296,525285
1984,District of Columbia,11,440,566154
1984,Florida,12,7755,9721441
1984,Georgia,13,3169,4961697
1984,Hawaii,15,448,866961
1984,Idaho,16,600,804292
1984,Illinois,17,7077,9720805
1984,Indiana,18,3172,4644924
1984,Iowa,19,2225,2429903
1984,Kansas,20,1918,2052850
1984,Kentucky,21,2704,3139622
1984,Louisiana,22,2086,3654324
1984,Maine,23,805,993585
1984,Maryland,24,2319,3785478
1984,Massachusetts,25,4387,5141665
1984,Michigan,26,5190,7715234
1984,Minnesota,27,2625,3527248
1984,Mississippi,28,1526,2143739
1984,Missouri,29,3795,4253764
1984,Montana,30,588,685721
1984,Nebraska,31,1102,1340474
1984,Nevada,32,505,793157
1984,New Hampshire,33,564,843419
1984,New Jersey,34,4526,6572579
1984,New Mexico,35,845,1171313
1984,New York,36,11784,15432326
1984,North Carolina,37,3460,5331042
1984,North Dakota,38,420,567763
1984,Ohio,39,6641,9170464
1984,Oklahoma,40,2259,2772678
1984,Oregon,41,1882,2270058
1984,Pennsylvania,42,8359,10297272
1984,Rhode Island,44,588,844436
1984,South Carolina,45,1639,2781017
1984,South Dakota,46,552,581207
1984,Tennessee,47,2943,4029641
1984,Texas,48,8101,13386307
1984,Utah,49,687,1240468
1984,Vermont,50,395,451042
1984,Virginia,51,3260,4885864
1984,Washington,53,2880,3701062
1984,West Virginia,54,1523,1650149
1984,Wisconsin,55,2880,4038562
1984,Wyoming,56,319,409599
1985,Alabama,1,2720,3388437
1985,Arizona,4,2348,2695343
1985,Arkansas,5,1760,1982326
1985,California,6,18300,22516711
1985,Colorado,8,2222,2718791
1985,Connecticut,9,2133,2806414
1985,Delaware,10,376,530197
1985,District of Columbia,11,474,565884
1985,Florida,12,8793,9979581
1985,Georgia,13,3780,5069465
1985,Hawaii,15,488,875861
1985,Idaho,16,648,808586
1985,Illinois,17,7747,9704100
1985,Indiana,18,3683,4649109
1985,Iowa,19,2504,2404566
1985,Kansas,20,1914,2051754
1985,Kentucky,21,3174,3143626
1985,Louisiana,22,2266,3655162
1985,Maine,23,985,999171
1985,Maryland,24,2551,3818865
1985,Massachusetts,25,4765,5168459
1985,Michigan,26,5752,7737227
1985,Minnesota,27,2938,3544644
1985,Mississippi,28,1594,2151718
1985,Missouri,29,4204,4270013
1985,Montana,30,635,685604
1985,Nebraska,31,1417,1335583
1985,Nevada,32,639,814334
1985,New Hampshire,33,704,860025
1985,New Jersey,34,5043,6610831
1985,New Mexico,35,863,1188443
1985,New York,36,12687,15453940
1985,North Carolina,37,4071,5412483
1985,North Dakota,38,437,564203
1985,Ohio,39,7486,9167213
