"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1980"	"1980"	"Alabama"	"01"	1872	3283326	57.0
	"1980"	"1980"	"Alaska"	"02"	87	327859	26.5
	"1980"	"1980"	"Arizona"	"04"	1913	2293265	83.4
	"1980"	"1980"	"Arkansas"	"05"	1195	1930478	61.9
	"1980"	"1980"	"California"	"06"	13014	20309154	64.1
	"1980"	"1980"	"Colorado"	"08"	1684	2460334	68.4
	"1980"	"1980"	"Connecticut"	"09"	1780	2716630	65.5
	"1980"	"1980"	"Delaware"	"10"	270	511111	52.8
	"1980"	"1980"	"District of Columbia"	"11"	463	567350	81.6
	"1980"	"1980"	"Florida"	"12"	6446	8554566	75.4
	"1980"	"1980"	"Georgia"	"13"	2661	4601339	57.8
	"1980"	"1980"	"Hawaii"	"15"	339	813786	41.7
	"1980"	"1980"	"Idaho"	"16"	492	767670	64.1
	"1980"	"1980"	"Illinois"	"17"	5859	9734664	60.2
	"1980"	"1980"	"Indiana"	"18"	2864	4638407	61.7
	"1980"	"1980"	"Iowa"	"19"	1999	2481139	80.6
	"1980"	"1980"	"Kansas"	"20"	1601	2013787	79.5
	"1980"	"1980"	"Kentucky"	"21"	2402	3088635	77.8
	"1980"	"1980"	"Louisiana"	"22"	1628	3498401	46.5
	"1980"	"1980"	"Maine"	"23"	796	961967	82.7
	"1980"	"1980"	"Maryland"	"24"	1838	3651785	50.3
	"1980"	"1980"	"Massachusetts"	"25"	4229	5025088	84.2
	"1980"	"1980"	"Michigan"	"26"	4412	7849845	56.2
	"1980"	"1980"	"Minnesota"	"27"	2277	3472426	65.6
	"1980"	"1980"	"Mississippi"	"28"	1130	2086311	54.2
	"1980"	"1980"	"Missouri"	"29"	3196	4207116	76.0
	"1980"	"1980"	"Montana"	"30"	495	661997	74.8
	"1980"	"1980"	"Nebraska"	"31"	994	1328834	74.8
	"1980"	"1980"	"Nevada"	"32"	419	688672	60.8
	"1980"	"1980"	"New Hampshire"	"33"	569	790101	72.0
	"1980"	"1980"	"New Jersey"	"34"	3885	6393087	60.8
	"1980"	"1980"	"New Mexico"	"35"	727	1078548	67.4
	"1980"	"1980"	"New York"	"36"	11130	15237268	73.0
	"1980"	"1980"	"North Carolina"	"37"	2865	5030002	57.0
	"1980"	"1980"	"North Dakota"	"38"	378	548949	68.9
	"1980"	"1980"	"Ohio"	"39"	6004	9189000	65.3
	"1980"	"1980"	"Oklahoma"	"40"	1792	2562410	69.9
	"1980"	"1980"	"Oregon"	"41"	1677	2245730	74.7
	"1980"	"1980"	"Pennsylvania"	"42"	7910	10311286	76.7
	"1980"	"1980"	"Rhode Island"	"44"	537	828997	64.8
	"1980"	"1980"	"South Carolina"	"45"	1324	2629661	50.3
	"1980"	"1980"	"South Dakota"	"46"	442	579451	76.3
	"1980"	"1980"	"Tennessee"	"47"	2556	3915104	65.3
	"1980"	"1980"	"Texas"	"48"	6224	11890241	52.3
	"1980"	"1980"	"Utah"	"49"	566	1124888	50.3
	"1980"	"1980"	"Vermont"	"50"	363	437603	83.0
	"1980"	"1980"	"Virginia"	"51"	2706	4598608	58.8
	"1980"	"1980"	"Washington"	"53"	2424	3530022	68.7
	"1980"	"1980"	"West Virginia"	"54"	1325	1651259	80.2
	"1980"	"1980"	"Wisconsin"	"55"	2371	4014023	59.1
	"1980"	"1980"	"Wyoming"	"56"	244	385415	63.3
"Total"	"1980"	"1980"			126374	193497595	65.3
	"1981"	"1981"	"Alabama"	"01"	2090	3318827	63.0
	"1981"	"1981"	"Alaska"	"02"	84	341836	24.6
	"1981"	"1981"	"Arizona"	"04"	1795	2381913	75.4
	"1981"	"1981"	"Arkansas"	"05"	1352	1943103	69.6
	"1981"	"1981"	"California"	"06"	13224	20858753	63.4
	"1981"	"1981"	"Colorado"	"08"	1762	2539749	69.4
	"1981"	"1981"	"Connecticut"	"09"	1745	2748604	63.5
	"1981"	"1981"	"Delaware"	"10"	286	514125	55.6
	"1981"	"1981"	"District of Columbia"	"11"	369	567795	65.0
	"1981"	"1981"	"Florida"	"12"	6935	8969398	77.3
	"1981"	"1981"	"Georgia"	"13"	2827	4710567	60.0
	"1981"	"1981"	"Hawaii"	"15"	333	826740	40.3
	"1981"	"1981"	"Idaho"	"16"	527	782180	67.4
	"1981"	"1981"	"Illinois"	"17"	6272	9765383	64.2
	"1981"	"1981"	"Indiana"	"18"	3015	4646681	64.9
	"1981"	"1981"	"Iowa"	"19"	2055	2478229	82.9
	"1981"	"1981"	"Kansas"	"20"	1671	2031029	82.3
	"1981"	"1981"	"Kentucky"	"21"	2453	3106897	79.0
	"1981"	"1981"	"Louisiana"	"22"	1871	3566892	52.5
	"1981"	"1981"	"Maine"	"23"	748	972880	76.9
	"1981"	"1981"	"Maryland"	"24"	1947	3704178	52.6
	"1981"	"1981"	"Massachusetts"	"25"	3921	5074845	77.3
	"1981"	"1981"	"Michigan"	"26"	4512	7827691	57.6
	"1981"	"1981"	"Minnesota"	"27"	2237	3507552	63.8
	"1981"	"1981"	"Mississippi"	"28"	1264	2107899	60.0
	"1981"	"1981"	"Missouri"	"29"	3439	4225508	81.4
