"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Texas"	"48"	13623	17568751	77.5
	"2000"	"2000"	"Utah"	"49"	1131	1830361	61.8
	"2000"	"2000"	"Vermont"	"50"	529	533537	99.1
	"2000"	"2000"	"Virginia"	"51"	5571	6119461	91.0
	"2000"	"2000"	"Washington"	"53"	4521	5073602	89.1
	"2000"	"2000"	"West Virginia"	"54"	2302	1594490	144.4
	"2000"	"2000"	"Wisconsin"	"55"	4334	4640725	93.4
	"2000"	"2000"	"Wyoming"	"56"	469	428390	109.5
"Total"	"2000"	"2000"			230015	241651734	95.2
	"2001"	"2001"	"Alabama"	"01"	4217	3863484	109.2
	"2001"	"2001"	"Alaska"	"02"	220	535226	41.1
	"2001"	"2001"	"Arizona"	"04"	4375	4491134	97.4
	"2001"	"2001"	"Arkansas"	"05"	2606	2325347	112.1
	"2001"	"2001"	"California"	"06"	23964	29319026	81.7
	"2001"	"2001"	"Colorado"	"08"	3069	3808239	80.6
	"2001"	"2001"	"Connecticut"	"09"	3121	2972589	105.0
	"2001"	"2001"	"Delaware"	"10"	638	689425	92.5
	"2001"	"2001"	"District of Columbia"	"11"	310	508278	61.0
	"2001"	"2001"	"Florida"	"12"	15099	14370508	105.1
	"2001"	"2001"	"Georgia"	"13"	5968	7150833	83.5
	"2001"	"2001"	"Hawaii"	"15"	727	1065760	68.2
	"2001"	"2001"	"Idaho"	"16"	1016	1119557	90.8
	"2001"	"2001"	"Illinois"	"17"	9322	10702790	87.1
	"2001"	"2001"	"Indiana"	"18"	5384	5264631	102.3
	"2001"	"2001"	"Iowa"	"19"	2959	2545876	116.2
	"2001"	"2001"	"Kansas"	"20"	2465	2320684	106.2
	"2001"	"2001"	"Kentucky"	"21"	4192	3526521	118.9
	"2001"	"2001"	"Louisiana"	"22"	3413	3835627	89.0
	"2001"	"2001"	"Maine"	"23"	1326	1134567	116.9
	"2001"	"2001"	"Maryland"	"24"	3667	4637992	79.1
	"2001"	"2001"	"Massachusetts"	"25"	6118	5581513	109.6
	"2001"	"2001"	"Michigan"	"26"	7627	8597455	88.7
	"2001"	"2001"	"Minnesota"	"27"	3446	4299312	80.2
	"2001"	"2001"	"Mississippi"	"28"	2585	2437637	106.0
	"2001"	"2001"	"Missouri"	"29"	5499	4880088	112.7
	"2001"	"2001"	"Montana"	"30"	949	792471	119.8
	"2001"	"2001"	"Nebraska"	"31"	1492	1481196	100.7
	"2001"	"2001"	"Nevada"	"32"	1726	1794136	96.2
	"2001"	"2001"	"New Hampshire"	"33"	1000	1092880	91.5
	"2001"	"2001"	"New Jersey"	"34"	6168	7334443	84.1
	"2001"	"2001"	"New Mexico"	"35"	1417	1565633	90.5
	"2001"	"2001"	"New York"	"36"	14051	16545912	84.9
	"2001"	"2001"	"North Carolina"	"37"	6837	7098841	96.3
	"2001"	"2001"	"North Dakota"	"38"	560	559440	100.1
	"2001"	"2001"	"Ohio"	"39"	10239	9838826	104.1
	"2001"	"2001"	"Oklahoma"	"40"	3419	2991686	114.3
	"2001"	"2001"	"Oregon"	"41"	2803	3013112	93.0
	"2001"	"2001"	"Pennsylvania"	"42"	11613	10774944	107.8
	"2001"	"2001"	"Rhode Island"	"44"	983	923618	106.4
	"2001"	"2001"	"South Carolina"	"45"	3290	3518800	93.5
	"2001"	"2001"	"South Dakota"	"46"	646	653469	98.9
	"2001"	"2001"	"Tennessee"	"47"	5504	4982782	110.5
	"2001"	"2001"	"Texas"	"48"	13862	18004267	77.0
	"2001"	"2001"	"Utah"	"49"	1197	1875222	63.8
	"2001"	"2001"	"Vermont"	"50"	540	539133	100.2
	"2001"	"2001"	"Virginia"	"51"	5638	6243993	90.3
	"2001"	"2001"	"Washington"	"53"	4560	5172187	88.2
	"2001"	"2001"	"West Virginia"	"54"	2234	1593202	140.2
	"2001"	"2001"	"Wisconsin"	"55"	4380	4692104	93.3
	"2001"	"2001"	"Wyoming"	"56"	456	430980	105.8
"Total"	"2001"	"2001"			228897	245497376	93.2
	"2002"	"2002"	"Alabama"	"01"	4454	3881411	114.8
	"2002"	"2002"	"Alaska"	"02"	235	544954	43.1
	"2002"	"2002"	"Arizona"	"04"	4544	4602380	98.7
	"2002"	"2002"	"Arkansas"	"05"	2755	2340380	117.7
	"2002"	"2002"	"California"	"06"	23535	29771946	79.1
	"2002"	"2002"	"Colorado"	"08"	3184	3868491	82.3
	"2002"	"2002"	"Connecticut"	"09"	3096	3003361	103.1
	"2002"	"2002"	"Delaware"	"10"	668	700365	95.4
	"2002"	"2002"	"District of Columbia"	"11"	288	508581	56.6
	"2002"	"2002"	"Florida"	"12"	15024	14684965	102.3
	"2002"	"2002"	"Georgia"	"13"	6325	7268872	87.0
	"2002"	"2002"	"Hawaii"	"15"	801	1080599	74.1
	"2002"	"2002"	"Idaho"	"16"	1049	1137742	92.2
	"2002"	"2002"	"Illinois"	"17"	9710	10757530	90.3
	"2002"	"2002"	"Indiana"	"18"	5529	5296930	104.4
	"2002"	"2002"	"Iowa"	"19"	3032	2551871	118.8
	"2002"	"2002"	"Kansas"	"20"	2563	2332659	109.9
	"2002"	"2002"	"Kentucky"	"21"	4451	3550280	125.4
	"2002"	"2002"	"Louisiana"	"22"	3296	3859947	85.4
	"2002"	"2002"	"Maine"	"23"	1362	1146906	118.8
	"2002"	"2002"	"Maryland"	"24"	3859	4708332	82.0
	"2002"	"2002"	"Massachusetts"	"25"	6278	5612247	111.9
	"2002"	"2002"	"Michigan"	"26"	7831	8644122	90.6
	"2002"	"2002"	"Minnesota"	"27"	3503	4339522	80.7
	"2002"	"2002"	"Mississippi"	"28"	2677	2447723	109.4
	"2002"	"2002"	"Missouri"	"29"	5482	4918731	111.5
	"2002"	"2002"	"Montana"	"30"	1007	798531	126.1
	"2002"	"2002"	"Nebraska"	"31"	1668	1489649	112.0
	"2002"	"2002"	"Nevada"	"32"	1820	1862579	97.7
	"2002"	"2002"	"New Hampshire"	"33"	1008	1107938	91.0
	"2002"	"2002"	"New Jersey"	"34"	6195	7399875	83.7
	"2002"	"2002"	"New Mexico"	"35"	1461	1590440	91.9
	"2002"	"2002"	"New York"	"36"	14457	16644837	86.9
	"2002"	"2002"	"North Carolina"	"37"	7125	7207136	98.9
	"2002"	"2002"	"North Dakota"	"38"	596	560043	106.4
	"2002"	"2002"	"Ohio"	"39"	10485	9879551	106.1
	"2002"	"2002"	"Oklahoma"	"40"	3463	3013629	114.9
	"2002"	"2002"	"Oregon"	"41"	2992	3059483	97.8
	"2002"	"2002"	"Pennsylvania"	"42"	12010	10828451	110.9
	"2002"	"2002"	"Rhode Island"	"44"	989	933897	105.9
	"2002"	"2002"	"South Carolina"	"45"	3509	3562547	98.5
	"2002"	"2002"	"South Dakota"	"46"	724	656504	110.3
	"2002"	"2002"	"Tennessee"	"47"	5710	5029003	113.5
	"2002"	"2002"	"Texas"	"48"	13894	18340249	75.8
	"2002"	"2002"	"Utah"	"49"	1283	1909464	67.2
	"2002"	"2002"	"Vermont"	"50"	494	543969	90.8
	"2002"	"2002"	"Virginia"	"51"	5587	6330703	88.3
	"2002"	"2002"	"Washington"	"53"	4538	5245093	86.5
	"2002"	"2002"	"West Virginia"	"54"	2132	1598672	133.4
	"2002"	"2002"	"Wisconsin"	"55"	4363	4734506	92.2
	"2002"	"2002"	"Wyoming"	"56"	518	435988	118.8
"Total"	"2002"	"2002"			233559	248323584	94.1
	"2003"	"2003"	"Alabama"	"01"	4482	3909139	114.7
	"2003"	"2003"	"Alaska"	"02"	249	552059	45.1
	"2003"	"2003"	"Arizona"	"04"	4493	4704405	95.5
	"2003"	"2003"	"Arkansas"	"05"	2928	2358180	124.2
	"2003"	"2003"	"California"	"06"	24428	30186910	80.9
	"2003"	"2003"	"Colorado"	"08"	3296	3903679	84.4
	"2003"	"2003"	"Connecticut"	"09"	3073	3032847	101.3
	"2003"	"2003"	"Delaware"	"10"	609	712416	85.5
	"2003"	"2003"	"District of Columbia"	"11"	299	506909	59.0
	"2003"	"2003"	"Florida"	"12"	14869	14983537	99.2
	"2003"	"2003"	"Georgia"	"13"	6387	7372365	86.6
	"2003"	"2003"	"Hawaii"	"15"	780	1092866	71.4
	"2003"	"2003"	"Idaho"	"16"	1082	1157957	93.4
